keys,en,zh_TW
CARD.ATK_SPEED_UP_15.TITLE,Attack Speed +15%,攻速 +15%
CARD.ATK_SPEED_UP_15.DESC,Primary attack speed +15%.,主武器攻擊速度 +15%。
CARD.ATK_PROJECTILE_PLUS_1.TITLE,+1 Projectile,+1 投射物
CARD.ATK_PROJECTILE_PLUS_1.DESC,Primary volley gains +1 same-axis projectile (tight spread).,主武器每次齊射額外 +1 同軸投射物（窄散射）。
CARD.ATK_SPLIT_SHOT.TITLE,Split Shot,分裂射擊
CARD.ATK_SPLIT_SHOT.DESC,On hit, splits from enemy position: 3->4->5->6 shots (max 6 is 360 deg, split shots deal 50%, non-chain).,命中後以敵人位置分裂：3->4->5->6 發（6 發時 360 度，分裂彈為 50% 傷害，不連鎖）。
CARD.ATK_DAMAGE_UP_20.TITLE,Damage +20%,傷害 +20%
CARD.ATK_DAMAGE_UP_20.DESC,Primary damage +20%.,主武器傷害 +20%。
CARD.ATK_CRIT_CHANCE_UP_10.TITLE,Crit Chance +10%,暴擊率 +10%
CARD.ATK_CRIT_CHANCE_UP_10.DESC,Primary crit chance +10%.,主武器暴擊率 +10%。
CARD.SURV_MAX_HP_PLUS_1.TITLE,Max HP +1,最大生命 +1
CARD.SURV_MAX_HP_PLUS_1.DESC,Increase max HP by 1.,最大生命值提高 1 點。
CARD.SURV_SHIELD_COOLDOWN.TITLE,Shield,護盾
CARD.SURV_SHIELD_COOLDOWN.DESC,Absorb one hit then enter cooldown.,吸收一次傷害後進入冷卻。
CARD.SURV_LIFESTEAL_CLOSE_KILL.TITLE,Kill-Chance Lifesteal,擊殺機率吸血
CARD.SURV_LIFESTEAL_CLOSE_KILL.DESC,On kill: 12% chance to heal 1 HP.,擊殺時有 12% 機率回復 1 點生命。
CARD.ECO_EXP_GAIN_UP_20.TITLE,EXP Gain +20%,經驗獲取 +20%
CARD.ECO_EXP_GAIN_UP_20.DESC,Gain 20% more EXP from pickups.,拾取經驗時額外獲得 20% 經驗。
CARD.ECO_PICKUP_RADIUS_UP_25.TITLE,Pickup Radius +25%,拾取範圍 +25%
CARD.ECO_PICKUP_RADIUS_UP_25.DESC,Increase EXP pickup radius by 25%.,經驗拾取半徑提高 25%。
